Name,MFLOPS_observed,MFLOPS_tuned,Time,Row,Col,BlockRow,BlockCol
sc205-2r_A_05.rb,1806.49,1234.71,0.00140441,717,1271,0,0
ex15.rb,4093.28,4094.7,0.00376471,6867,6867,3,1
oscil_dcop_55.rb,1673.98,1328.52,0.00131862,430,430,0,0
mk11-b1.rb,1380.58,1736.68,0.00165313,990,55,0,0
bcsstm09.rb,867.465,751.866,0.00144661,1083,1083,0,0
bcsstm35.rb,762.847,783.724,0.00616855,30237,30237,0,0
GD01_Acap.rb,608.643,620.997,0.001383,953,953,0,0
oscil_dcop_05.rb,1645.44,1324.94,0.00142011,430,430,0,0
adder_dcop_60.rb,1443.24,1320.49,0.00205299,1813,1813,1,1
deter6.rb,1880.93,1607.75,0.00285019,4255,12113,1,1
nemeth21.rb,3373.67,6938.73,0.0251261,9506,9506,4,1
relat7b.rb,1908.32,2004.94,0.012304,21924,1045,0,0
fpga_dcop_45.rb,1881.79,1573.56,0.00177431,1220,1220,0,0
fxm3_16.rb,1806.31,1595.43,0.0236107,41340,85575,1,1
n3c5-b1.rb,518.284,344.48,0.00137603,45,10,0,0
scagr7-2r_A_09.rb,1868.71,1513.01,0.0032145,8223,11687,1,1
extr1b_A_16.rb,1726.38,1497.27,0.00199699,2836,2836,0,0
jagmesh1.rb,3285.56,2627.48,0.00137761,936,936,0,0
debr.rb,1756.76,1560.25,0.578911,1048576,1048576,0,0
adder_dcop_42.rb,1480.53,1340.72,0.00184496,1813,1813,1,1
boyd2.rb,1543.0,1610.42,0.120136,466316,466316,0,0
bcsstk32.rb,2949.51,3833.43,0.048715,44609,44609,3,1
Hamrle1_b.rb,14.4391,9.0719,0.00145007,32,1,0,0
lowThrust_9.rb,3764.86,3622.5,0.0100741,18044,18044,0,0
west2021.rb,1889.95,1585.91,0.00181834,2021,2021,0,0
scrs8-2b_A_3.rb,1908.64,1508.12,0.00168843,1820,3499,1,1
c-61.rb,2805.13,2822.37,0.0123149,43618,43618,1,1
G7.rb,3947.67,3849.83,0.00246911,800,800,0,0
t2d_q4_A_30.rb,2344.69,2567.37,0.00531955,9801,9801,3,1
extr1b_A_38.rb,1770.5,1500.99,0.00206386,2836,2836,0,0
hydr1c_A_40.rb,1844.94,1623.54,0.00297621,5308,5308,0,0
ex24.rb,2190.78,2669.09,0.0034589,2283,2283,3,1
shar_te2-b2.rb,1411.88,1374.21,0.0432474,200200,17160,1,1
cfd1.rb,2939.49,3175.79,0.0501078,70656,70656,1,1
Long_Coup_dt0.rb,3200.5,4951.48,2.0916,1470152,1470152,4,4
TSOPF_FS_b300_c1.rb,2895.68,4693.21,0.106551,29214,29214,5,8
ncvxqp9.rb,2458.66,2180.63,0.00384095,16554,16554,1,1
impcol_c.rb,1240.95,887.451,0.00116596,137,137,0,0
Reuters911_Day_52.rb,405.996,520.328,0.00317108,13332,13332,0,0
onetone1.rb,1877.16,1721.04,0.0211216,36057,36057,1,1
delf_A_19.rb,1994.77,1615.15,0.00221405,3185,6648,1,1
bcsstk39.rb,3153.84,3566.25,0.0504812,46772,46772,3,1
bcsstk08.rb,3296.83,2887.03,0.00167835,1074,1074,0,0
large_A_11.rb,1948.4,1607.56,0.00253828,4247,8587,1,1
