Phase	Benchmark	Mode	Feature	Value
Dense	consph.mtx	coo	MFLOPS_median	914.671
Dense	consph.mtx	coo	Time	21.877
Dense	consph.mtx	coo	Fletcher_sum	0

Sparse	denormal.mtx	csr	Outer	20
Sparse	denormal.mtx	csr	Inner	1
Sparse	denormal.mtx	csr	N	89400
Sparse	denormal.mtx	csr	NNZ	1156224
Sparse	denormal.mtx	csr	SD	102.319731
Sparse	denormal.mtx	csr	MFLOPS_s	3129.58
Sparse	denormal.mtx	csr	MFLOPS_median	3163.5
Sparse	denormal.mtx	csr	Time	0.014778
Sparse	denormal.mtx	csr	Fletcher_sum	27292

Sparse	denormal.mtx	dia	Outer	20
Sparse	denormal.mtx	dia	Inner	1
Sparse	denormal.mtx	dia	N	89400
Sparse	denormal.mtx	dia	NNZ	1156224
Sparse	denormal.mtx	dia	SD	783.713021
Sparse	denormal.mtx	dia	MFLOPS_s	9004.86
Sparse	denormal.mtx	dia	MFLOPS_median	8911.47
Sparse	denormal.mtx	dia	Time	0.005136
Sparse	denormal.mtx	dia	Fletcher_sum	27292

Sparse	denormal.mtx	ell	Outer	20
Sparse	denormal.mtx	ell	Inner	1
Sparse	denormal.mtx	ell	N	89400
Sparse	denormal.mtx	ell	NNZ	1156224
Sparse	denormal.mtx	ell	SD	48.570977
Sparse	denormal.mtx	ell	MFLOPS_s	2598.69
Sparse	denormal.mtx	ell	MFLOPS_median	2635.27
Sparse	denormal.mtx	ell	Time	0.017797
Sparse	denormal.mtx	ell	Fletcher_sum	27292

Sparse	denormal.mtx	coo	Outer	20
Sparse	denormal.mtx	coo	Inner	1
Sparse	denormal.mtx	coo	N	89400
Sparse	denormal.mtx	coo	NNZ	1156224
Sparse	denormal.mtx	coo	SD	11.5482
Sparse	denormal.mtx	coo	MFLOPS_s	1406.98
Sparse	denormal.mtx	coo	MFLOPS_median	1410.47
Sparse	denormal.mtx	coo	Time	0.032871
Sparse	denormal.mtx	coo	Fletcher_sum	27292

Dense	denormal.mtx	csr	Outer	20
Dense	denormal.mtx	csr	Inner	500
Dense	denormal.mtx	csr	N	1000
Dense	denormal.mtx	csr	NNZ	1000000
Dense	denormal.mtx	csr	SD	4.853497
Dense	denormal.mtx	csr	MFLOPS_s	1969.2
Dense	denormal.mtx	csr	MFLOPS_median	1972.15
Dense	denormal.mtx	csr	Time	10.1564
Dense	denormal.mtx	csr	Fletcher_sum	0

Dense	denormal.mtx	dia	Outer	20
Dense	denormal.mtx	dia	Inner	500
Dense	denormal.mtx	dia	N	1000
Dense	denormal.mtx	dia	NNZ	1000000
Dense	denormal.mtx	dia	SD	210.497848
Dense	denormal.mtx	dia	MFLOPS_s	4798.57
Dense	denormal.mtx	dia	MFLOPS_median	4782.05
Dense	denormal.mtx	dia	Time	4.16791
Dense	denormal.mtx	dia	Fletcher_sum	0

Dense	denormal.mtx	ell	Outer	20
Dense	denormal.mtx	ell	Inner	500
Dense	denormal.mtx	ell	N	1000
Dense	denormal.mtx	ell	NNZ	1000000
Dense	denormal.mtx	ell	SD	46.562700
Dense	denormal.mtx	ell	MFLOPS_s	2635.03
Dense	denormal.mtx	ell	MFLOPS_median	2672.15
Dense	denormal.mtx	ell	Time	7.59004
Dense	denormal.mtx	ell	Fletcher_sum	0

Dense	denormal.mtx	coo	Outer	20
Dense	denormal.mtx	coo	Inner	500
Dense	denormal.mtx	coo	N	1000
Dense	denormal.mtx	coo	NNZ	1000000
Dense	denormal.mtx	coo	SD	1.59574
Dense	denormal.mtx	coo	MFLOPS_s	914.461
