Phase	Benchmark	Mode	Feature	Value
Dense	consph.mtx	csr	Fletcher_sum	0

Dense	consph.mtx	dia	Outer	3
Dense	consph.mtx	dia	Inner	500
Dense	consph.mtx	dia	N	1000
Dense	consph.mtx	dia	NNZ	1000000
Dense	consph.mtx	dia	SD	5.560723
Dense	consph.mtx	dia	MFLOPS_s	4429.77
Dense	consph.mtx	dia	MFLOPS_median	4431.81
Dense	consph.mtx	dia	Time	0.677236
Dense	consph.mtx	dia	Fletcher_sum	0

Dense	consph.mtx	ell	Outer	3
Dense	consph.mtx	ell	Inner	500
Dense	consph.mtx	ell	N	1000
Dense	consph.mtx	ell	NNZ	1000000
Dense	consph.mtx	ell	SD	23.505711
Dense	consph.mtx	ell	MFLOPS_s	2572.34
Dense	consph.mtx	ell	MFLOPS_median	2556.13
Dense	consph.mtx	ell	Time	1.16625
Dense	consph.mtx	ell	Fletcher_sum	0

Dense	consph.mtx	coo	Outer	3
Dense	consph.mtx	coo	Inner	500
Dense	consph.mtx	coo	N	1000
Dense	consph.mtx	coo	NNZ	1000000
Dense	consph.mtx	coo	SD	1.93822
Dense	consph.mtx	coo	MFLOPS_s	909.027
Dense	consph.mtx	coo	MFLOPS_median	907.789
Dense	consph.mtx	coo	Time	3.30023
Dense	consph.mtx	coo	Fletcher_sum	0

Sparse	denormal.mtx	csr	Outer	3
Sparse	denormal.mtx	csr	Inner	1
Sparse	denormal.mtx	csr	N	89400
Sparse	denormal.mtx	csr	NNZ	1156224
Sparse	denormal.mtx	csr	SD	132.912011
Sparse	denormal.mtx	csr	MFLOPS_s	2967.21
Sparse	denormal.mtx	csr	MFLOPS_median	2886.53
Sparse	denormal.mtx	csr	Time	0.002338
Sparse	denormal.mtx	csr	Fletcher_sum	27292

Sparse	denormal.mtx	coo	Outer	3
Sparse	denormal.mtx	coo	Inner	1
Sparse	denormal.mtx	coo	N	89400
Sparse	denormal.mtx	coo	NNZ	1156224
Sparse	denormal.mtx	coo	SD	2.72468
Sparse	denormal.mtx	coo	MFLOPS_s	1382.77
Sparse	denormal.mtx	coo	MFLOPS_median	1381.81
Sparse	denormal.mtx	coo	Time	0.005017
Sparse	denormal.mtx	coo	Fletcher_sum	27292

Sparse	denormal.mtx	dia	Outer	3
Sparse	denormal.mtx	dia	Inner	1
Sparse	denormal.mtx	dia	N	89400
Sparse	denormal.mtx	dia	NNZ	1156224
Sparse	denormal.mtx	dia	SD	1280.712725
Sparse	denormal.mtx	dia	MFLOPS_s	8066.68
Sparse	denormal.mtx	dia	MFLOPS_median	7679.24
Sparse	denormal.mtx	dia	Time	0.00086
Sparse	denormal.mtx	dia	Fletcher_sum	27292

Sparse	denormal.mtx	ell	Outer	3
Sparse	denormal.mtx	ell	Inner	1
Sparse	denormal.mtx	ell	N	89400
Sparse	denormal.mtx	ell	NNZ	1156224
Sparse	denormal.mtx	ell	SD	84.913235
Sparse	denormal.mtx	ell	MFLOPS_s	2499.04
Sparse	denormal.mtx	ell	MFLOPS_median	2450.84
Sparse	denormal.mtx	ell	Time	0.002776
Sparse	denormal.mtx	ell	Fletcher_sum	27292

Dense	denormal.mtx	csr	Outer	3
Dense	denormal.mtx	csr	Inner	500
Dense	denormal.mtx	csr	N	1000
Dense	denormal.mtx	csr	NNZ	1000000
Dense	denormal.mtx	csr	SD	4.668309
Dense	denormal.mtx	csr	MFLOPS_s	1959.29
Dense	denormal.mtx	csr	MFLOPS_median	1957.22
Dense	denormal.mtx	csr	Time	1.53117
Dense	denormal.mtx	csr	Fletcher_sum	0

Dense	denormal.mtx	dia	Outer	3
Dense	denormal.mtx	dia	Inner	500
Dense	denormal.mtx	dia	N	1000
Dense	denormal.mtx	dia	NNZ	1000000
Dense	denormal.mtx	dia	SD	17.294674
Dense	denormal.mtx	dia	MFLOPS_s	4498.92
Dense	denormal.mtx	dia	MFLOPS_median	4488.41
Dense	denormal.mtx	dia	Time	0.666827
Dense	denormal.mtx	dia	Fletcher_sum	0

Dense	denormal.mtx	ell	Outer	3
Dense	denormal.mtx	ell	Inner	500
Dense	denormal.mtx	ell	N	1000
Dense	denormal.mtx	ell	NNZ	1000000
Dense	denormal.mtx	ell	SD	4.771436
Dense	denormal.mtx	ell	MFLOPS_s	2555.24
Dense	denormal.mtx	ell	MFLOPS_median	2551.96
Dense	denormal.mtx	ell	Time	1.17406
Dense	denormal.mtx	ell	Fletcher_sum	0

Dense	denormal.mtx	coo	Outer	3
Dense	denormal.mtx	coo	Inner	500
Dense	denormal.mtx	coo	N	1000
Dense	denormal.mtx	coo	NNZ	1000000
Dense	denormal.mtx	coo	SD	5.76177
